date,grade,name,type
2022-11-13,5.9+,"Blast in Black",Sport
2022-12-05,5.8,"Sunny Day",Sport
2022-12-05,5.8,"Sunny Day",Sport
2022-12-05,5.11b,Quickdraw,Sport
2022-12-09,5.8,"Kish Dish",Sport
2022-12-09,5.10b,"Barbs World",Sport
2022-12-09,5.10b,"Barbs World",Sport
2022-12-12,5.7+,"Flight Time",Sport
2022-12-12,5.10b,"Crimps and Slopers",Sport
2022-12-12,5.10d,"Black Hole",Sport
2022-12-12,5.11b,Hardman,Sport
2022-12-12,5.9+,"The Twins Right",Sport
2022-12-12,5.7,"Left Of Time",Sport
2022-12-19,5.7+,Caterpillar,Trad
2022-12-19,5.8,"Ooga Chocka",Trad
2022-12-19,5.9,"The Dish",Trad
2022-12-30,5.10b,"Grace Under Pressure",Trad
2023-01-02,5.11a,"Voodoo Child",Sport
2023-01-02,5.11a,"Voodoo Child",Sport
2023-01-15,5.11c,"Any Major Dude",Sport
2023-01-16,5.10b,Bullistics,Sport
2023-01-16,5.7,"Left Of Time",Sport
2023-01-28,5.8,"The Pulpit",Trad
2023-02-05,5.10c,"Devil in the White House",Sport
2023-02-05,5.7+,Novi,Sport
2023-02-18,5.7+,"5.7 Corner",Trad
2023-02-18,5.10d,"I'll Be Danned",Sport
2023-02-18,5.8,"Kish Dish",Sport
2023-02-18,5.10b,"Pilot's License",Sport
2023-02-19,5.10b,"DC Comics",Sport
2023-02-19,5.10a,"Green Arrow",Sport
2023-02-26,5.8,Yardarm,Trad
2023-02-26,5.5,"Entrance Crack",Trad
2023-03-11,5.3,"Caver's Route",Trad
2023-03-13,5.11a,"Air Ride Equipped",Sport
2023-03-13,5.8-,"The Bee's Business",Sport
2023-03-13,5.9+,"Stay Off the Radio Jeff!",Sport
2023-03-14,5.10a,"Rock Wars",Trad
2023-03-14,5.9,Autumn,Trad
2023-03-14,5.8+,Mailbox,Trad
2023-03-15,5.7+,"Environmental Impact",Trad
2023-04-06,5.9-,"Air Show",Trad
2023-04-23,5.8-,"Raise Hell",Trad
2023-05-11,5.5,"Exploratory 5.5",Trad
2023-05-12,5.8-,"White Lightning",Trad
2023-05-13,5.6,"The Daddy",Trad
